CRASH_DATE,COUNT
2018-01-16,335
2018-01-17,397
2018-01-18,372
2018-01-19,359
2018-01-20,308
2018-01-21,209
2018-01-22,311
2018-01-23,333
2018-01-24,238
2018-01-25,287
2018-01-26,370
2018-01-27,242
2018-01-28,211
2018-01-29,259
2018-01-30,263
2018-01-31,255
2018-02-01,299
2018-02-02,334
2018-02-03,280
2018-02-04,322
2018-02-05,388
2018-02-06,295
2018-02-07,271
2018-02-08,364
2018-02-09,246
2018-02-10,275
2018-02-11,257
2018-02-12,439
2018-02-13,350
2018-02-14,365
2018-02-15,305
2018-02-16,351
2018-02-17,379
2018-02-18,248
2018-02-19,240
2018-02-20,391
2018-02-21,281
2018-02-22,263
2018-02-23,323
2018-02-24,306
2018-02-25,254
2018-02-26,339
2018-02-27,284
2018-02-28,280
2018-03-01,314
2018-03-02,359
2018-03-03,331
2018-03-04,240
2018-03-05,302
2018-03-06,294
2018-03-07,304
2018-03-08,286
2018-03-09,357
2018-03-10,318
2018-03-11,256
2018-03-12,271
2018-03-13,350
2018-03-14,300
2018-03-15,322
2018-03-16,349
2018-03-17,331
2018-03-18,292
2018-03-19,291
2018-03-20,297
2018-03-21,306
2018-03-22,295
2018-03-23,361
2018-03-24,240
2018-03-25,266
2018-03-26,290
2018-03-27,266
2018-03-28,283
2018-03-29,257
2018-03-30,294
2018-03-31,297
2018-04-01,228
2018-04-02,280
2018-04-03,329
2018-04-04,447
2018-04-05,340
2018-04-06,334
2018-04-07,280
2018-04-08,250
2018-04-09,337
2018-04-10,289
2018-04-11,308
2018-04-12,336
2018-04-13,359
2018-04-14,385
2018-04-15,291
2018-04-16,353
2018-04-17,306
2018-04-18,334
2018-04-19,376
2018-04-20,360
2018-04-21,242
2018-04-22,240
2018-04-23,351
2018-04-24,306
2018-04-25,334
2018-04-26,320
2018-04-27,372
2018-04-28,319
2018-04-29,267
2018-04-30,375
2018-05-01,388
2018-05-02,356
2018-05-03,360
2018-05-04,351
2018-05-05,391
2018-05-06,285
2018-05-07,357
2018-05-08,354
2018-05-09,342
2018-05-10,374
2018-05-11,365
2018-05-12,311
2018-05-13,288
2018-05-14,326
2018-05-15,336
2018-05-16,334
2018-05-17,326
2018-05-18,403
2018-05-19,293
2018-05-20,251
2018-05-21,386
2018-05-22,362
2018-05-23,365
2018-05-24,361
2018-05-25,448
2018-05-26,361
2018-05-27,340
2018-05-28,256
2018-05-29,303
